2026-03-29 11:38:40,030 | INFO | incremental_silver_merge | Starting incremental silver merge job
2026-03-29 11:38:50,107 | INFO | incremental_silver_merge | Incremental races bronze count: 223
2026-03-29 11:38:50,648 | INFO | incremental_silver_merge | Incremental results bronze count: 4518
2026-03-29 11:38:53,830 | INFO | incremental_silver_merge | Incremental races cleaned count: 223
2026-03-29 11:38:54,858 | INFO | incremental_silver_merge | Incremental results cleaned count: 4518
2026-03-29 11:38:57,430 | INFO | incremental_silver_merge | Existing silver races count: 901
2026-03-29 11:38:57,772 | INFO | incremental_silver_merge | Existing silver results count: 22221
2026-03-29 11:39:01,624 | INFO | incremental_silver_merge | Merged races count: 1124
2026-03-29 11:39:06,702 | INFO | incremental_silver_merge | Merged results count: 26739
2026-03-29 11:39:06,702 | INFO | incremental_silver_merge | Writing merged races to temp silver path
2026-03-29 11:39:13,418 | INFO | incremental_silver_merge | Writing merged results to temp silver path
2026-03-29 11:39:22,082 | INFO | incremental_silver_merge | Spark merge phase completed successfully
2026-03-29 11:39:22,196 | INFO | incremental_silver_merge | Replacing main silver races folder with temp folder
2026-03-29 11:39:25,506 | INFO | incremental_silver_merge | Replacing main silver results folder with temp folder
2026-03-29 11:39:28,862 | INFO | incremental_silver_merge | Incremental silver merge completed successfully
