resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
26745,1144,846,1,4,1,1,1,1,25.0,58,1:26:33.291,5193291,52,3,1:27.438,217.429,1
26746,1144,832,6,55,3,2,2,2,18.0,58,+5.832,5199123,55,5,1:27.765,216.619,1
26747,1144,844,6,16,19,3,3,3,15.0,58,+31.928,5225219,51,9,1:28.018,215.996,1
26748,1144,1,131,44,16,4,4,4,12.0,58,+36.483,5229774,44,2,1:27.278,217.828,1
26749,1144,847,131,63,6,5,5,5,10.0,58,+37.538,5230829,56,10,1:28.195,215.563,1
26750,1144,830,9,1,4,6,6,6,8.0,58,+49.847,5243138,56,6,1:27.765,216.619,1
26751,1144,842,214,10,5,7,7,7,6.0,58,+1:12.560,5265851,30,16,1:29.251,213.012,1
26752,1144,807,210,27,7,8,8,8,4.0,58,+1:15.554,5268845,17,14,1:29.152,213.249,1
26753,1144,4,117,14,8,9,9,9,2.0,58,+1:22.373,5275664,51,7,1:27.948,216.168,1
26754,1144,857,1,81,2,10,10,10,1.0,58,+1:23.821,5277112,51,4,1:27.690,216.804,1
26755,1144,848,3,23,18,11,11,11,0.0,57,\N,\N,46,18,1:29.438,212.567,11
26756,1144,852,215,22,11,12,12,12,0.0,57,\N,\N,41,15,1:29.200,213.134,11
26757,1144,855,15,24,15,13,13,13,0.0,57,\N,\N,56,8,1:27.982,216.085,11
26758,1144,840,117,18,13,14,14,14,0.0,57,\N,\N,42,11,1:28.604,214.568,11
26759,1144,862,214,61,17,15,15,15,0.0,57,\N,\N,56,13,1:29.121,213.323,11
26760,1144,825,210,20,14,16,16,16,0.0,57,\N,\N,57,1,1:25.637,222.002,11
26761,1144,859,215,30,12,17,17,17,0.0,55,\N,\N,52,12,1:28.751,214.212,5
26762,1144,822,15,77,9,\N,R,18,0.0,30,\N,\N,14,19,1:29.482,212.462,130
26763,1144,861,3,43,20,\N,R,19,0.0,26,\N,\N,5,17,1:29.411,212.631,5
26764,1144,815,9,11,10,\N,R,20,0.0,0,\N,\N,\N,0,\N,\N,4
