raceId,driverId,lap,position,time,milliseconds
1144,846,1,1,1:31.142,91142
1144,846,2,1,1:48.349,108349
1144,846,3,1,1:43.313,103313
1144,846,4,1,1:29.010,89010
1144,846,5,1,1:29.104,89104
1144,846,6,1,1:29.361,89361
1144,846,7,1,1:29.024,89024
1144,846,8,1,1:28.860,88860
1144,846,9,1,1:29.007,89007
1144,846,10,1,1:29.244,89244
1144,846,11,1,1:29.128,89128
1144,846,12,1,1:29.084,89084
1144,846,13,1,1:29.272,89272
1144,846,14,1,1:29.039,89039
1144,846,15,1,1:29.070,89070
1144,846,16,1,1:28.951,88951
1144,846,17,1,1:28.955,88955
1144,846,18,1,1:29.222,89222
1144,846,19,1,1:29.139,89139
1144,846,20,1,1:29.213,89213
1144,846,21,1,1:29.133,89133
1144,846,22,1,1:29.189,89189
1144,846,23,1,1:29.262,89262
1144,846,24,1,1:29.484,89484
1144,846,25,1,1:29.210,89210
1144,846,26,1,1:31.567,91567
1144,846,27,1,1:47.513,107513
1144,846,28,1,1:28.325,88325
1144,846,29,1,1:28.439,88439
1144,846,30,1,1:28.235,88235
1144,846,31,1,1:28.362,88362
1144,846,32,1,1:28.414,88414
1144,846,33,1,1:28.126,88126
1144,846,34,1,1:28.108,88108
1144,846,35,1,1:27.974,87974
1144,846,36,1,1:27.875,87875
1144,846,37,1,1:28.076,88076
1144,846,38,1,1:27.907,87907
1144,846,39,1,1:27.760,87760
1144,846,40,1,1:27.707,87707
1144,846,41,1,1:27.857,87857
1144,846,42,1,1:28.162,88162
1144,846,43,1,1:28.002,88002
1144,846,44,1,1:27.962,87962
1144,846,45,1,1:28.055,88055
1144,846,46,1,1:28.078,88078
1144,846,47,1,1:28.237,88237
1144,846,48,1,1:28.205,88205
1144,846,49,1,1:28.371,88371
1144,846,50,1,1:28.128,88128
1144,846,51,1,1:27.867,87867
1144,846,52,1,1:27.438,87438
1144,846,53,1,1:27.520,87520
1144,846,54,1,1:28.124,88124
1144,846,55,1,1:27.647,87647
1144,846,56,1,1:27.698,87698
1144,846,57,1,1:27.929,87929
1144,846,58,1,1:29.858,89858
1144,832,1,2,1:32.999,92999
1144,832,2,2,1:49.770,109770
1144,832,3,2,1:42.795,102795
1144,832,4,2,1:28.995,88995
1144,832,5,2,1:29.250,89250
1144,832,6,2,1:29.253,89253
1144,832,7,2,1:29.063,89063
1144,832,8,2,1:29.202,89202
1144,832,9,2,1:29.187,89187
1144,832,10,2,1:29.320,89320
1144,832,11,2,1:29.246,89246
1144,832,12,2,1:29.150,89150
1144,832,13,2,1:29.192,89192
1144,832,14,2,1:29.140,89140
1144,832,15,2,1:29.222,89222
1144,832,16,2,1:29.224,89224
1144,832,17,2,1:29.187,89187
1144,832,18,2,1:29.010,89010
1144,832,19,2,1:29.320,89320
1144,832,20,2,1:29.208,89208
1144,832,21,2,1:29.191,89191
1144,832,22,2,1:28.909,88909
1144,832,23,2,1:29.157,89157
1144,832,24,2,1:29.372,89372
1144,832,25,2,1:30.842,90842
1144,832,26,2,1:47.557,107557
1144,832,27,2,1:28.177,88177
1144,832,28,2,1:28.482,88482
1144,832,29,2,1:28.399,88399
1144,832,30,2,1:28.184,88184
1144,832,31,2,1:28.388,88388
1144,832,32,2,1:28.333,88333
1144,832,33,2,1:28.370,88370
1144,832,34,2,1:28.251,88251
1144,832,35,2,1:28.220,88220
1144,832,36,2,1:28.367,88367
1144,832,37,2,1:28.202,88202
1144,832,38,2,1:28.103,88103
1144,832,39,2,1:27.924,87924
1144,832,40,2,1:28.662,88662
1144,832,41,2,1:28.032,88032
1144,832,42,2,1:28.255,88255
1144,832,43,2,1:27.854,87854
1144,832,44,2,1:28.148,88148
1144,832,45,2,1:28.331,88331
1144,832,46,2,1:28.682,88682
1144,832,47,2,1:28.404,88404
1144,832,48,2,1:28.144,88144
1144,832,49,2,1:27.871,87871
1144,832,50,2,1:27.885,87885
1144,832,51,2,1:28.476,88476
1144,832,52,2,1:28.266,88266
1144,832,53,2,1:28.297,88297
1144,832,54,2,1:28.183,88183
1144,832,55,2,1:27.765,87765
1144,832,56,2,1:27.825,87825
1144,832,57,2,1:27.851,87851
1144,832,58,2,1:28.031,88031
1144,842,1,3,1:33.984,93984
1144,842,2,3,1:49.760,109760
1144,842,3,3,1:42.837,102837
1144,842,4,3,1:29.406,89406
1144,842,5,3,1:29.611,89611
1144,842,6,3,1:30.014,90014
1144,842,7,3,1:29.744,89744
1144,842,8,3,1:29.732,89732
1144,842,9,3,1:29.631,89631
1144,842,10,3,1:30.127,90127
1144,842,11,3,1:30.072,90072
1144,842,12,3,1:30.174,90174
1144,842,13,3,1:30.173,90173
1144,842,14,4,1:32.241,92241
1144,842,15,9,1:49.784,109784
1144,842,16,9,1:29.927,89927
1144,842,17,8,1:29.986,89986
1144,842,18,8,1:30.123,90123
1144,842,19,8,1:29.567,89567
1144,842,20,8,1:29.562,89562
1144,842,21,7,1:29.725,89725
1144,842,22,7,1:30.627,90627
1144,842,23,6,1:30.137,90137
1144,842,24,7,1:31.144,91144
1144,842,25,7,1:29.750,89750
1144,842,26,7,1:29.688,89688
1144,842,27,7,1:30.381,90381
1144,842,28,7,1:29.596,89596
1144,842,29,7,1:29.409,89409
1144,842,30,6,1:29.251,89251
1144,842,31,6,1:29.563,89563
1144,842,32,6,1:29.647,89647
1144,842,33,6,1:29.516,89516
1144,842,34,6,1:29.431,89431
1144,842,35,5,1:29.500,89500
1144,842,36,5,1:29.321,89321
1144,842,37,5,1:29.212,89212
1144,842,38,5,1:29.506,89506
1144,842,39,5,1:29.321,89321
1144,842,40,5,1:29.372,89372
1144,842,41,5,1:29.504,89504
1144,842,42,6,1:29.998,89998
1144,842,43,6,1:29.453,89453
1144,842,44,6,1:29.379,89379
1144,842,45,7,1:30.401,90401
1144,842,46,7,1:29.650,89650
1144,842,47,7,1:29.523,89523
1144,842,48,7,1:29.434,89434
1144,842,49,7,1:29.493,89493
1144,842,50,7,1:29.606,89606
1144,842,51,7,1:29.571,89571
1144,842,52,7,1:29.650,89650
1144,842,53,7,1:29.676,89676
1144,842,54,7,1:29.447,89447
1144,842,55,7,1:30.172,90172
1144,842,56,7,1:29.541,89541
1144,842,57,7,1:29.936,89936
1144,842,58,7,1:30.865,90865
1144,847,1,4,1:34.679,94679
1144,847,2,4,1:49.838,109838
1144,847,3,4,1:42.811,102811
1144,847,4,4,1:29.488,89488
1144,847,5,4,1:29.796,89796
1144,847,6,4,1:29.791,89791
1144,847,7,4,1:29.738,89738
1144,847,8,4,1:29.988,89988
1144,847,9,4,1:29.816,89816
1144,847,10,4,1:30.056,90056
1144,847,11,4,1:30.055,90055
1144,847,12,4,1:30.038,90038
1144,847,13,4,1:30.080,90080
1144,847,14,3,1:29.967,89967
1144,847,15,3,1:30.094,90094
1144,847,16,3,1:29.795,89795
1144,847,17,3,1:29.766,89766
1144,847,18,3,1:29.919,89919
1144,847,19,3,1:29.857,89857
1144,847,20,3,1:29.903,89903
1144,847,21,3,1:30.368,90368
1144,847,22,3,1:29.896,89896
1144,847,23,3,1:30.295,90295
1144,847,24,3,1:29.922,89922
1144,847,25,3,1:29.945,89945
1144,847,26,3,1:32.057,92057
1144,847,27,6,1:48.853,108853
1144,847,28,6,1:28.470,88470
1144,847,29,6,1:28.480,88480
1144,847,30,5,1:28.350,88350
1144,847,31,5,1:28.981,88981
1144,847,32,5,1:28.447,88447
1144,847,33,5,1:28.611,88611
1144,847,34,5,1:28.373,88373
1144,847,35,4,1:28.473,88473
1144,847,36,4,1:28.501,88501
1144,847,37,4,1:28.498,88498
1144,847,38,4,1:28.463,88463
1144,847,39,4,1:28.329,88329
1144,847,40,4,1:28.454,88454
1144,847,41,4,1:28.677,88677
1144,847,42,4,1:28.438,88438
1144,847,43,4,1:28.329,88329
1144,847,44,4,1:28.436,88436
1144,847,45,4,1:28.709,88709
1144,847,46,4,1:28.549,88549
1144,847,47,4,1:28.836,88836
1144,847,48,4,1:28.505,88505
1144,847,49,4,1:28.420,88420
1144,847,50,4,1:28.623,88623
1144,847,51,4,1:28.250,88250
1144,847,52,4,1:28.394,88394
1144,847,53,4,1:28.687,88687
1144,847,54,4,1:28.380,88380
1144,847,55,4,1:28.361,88361
1144,847,56,4,1:28.195,88195
1144,847,57,4,1:28.207,88207
1144,847,58,5,1:29.592,89592
1144,807,1,5,1:35.498,95498
1144,807,2,5,1:49.887,109887
1144,807,3,5,1:42.689,102689
1144,807,4,5,1:29.348,89348
1144,807,5,5,1:29.968,89968
1144,807,6,5,1:29.787,89787
1144,807,7,5,1:29.760,89760
1144,807,8,5,1:30.089,90089
1144,807,9,5,1:29.959,89959
